NAME OF SUPPLIER,CONTACT NUMBERS,LOCATION,ADDRESS,DELIVERY AVAILABLE,WORK TIME,WORK DAYS,NOTES,VERIFIED?
My Home Enhanced Living,8073261861,Vasco,only to the customers,Yes,24*7,any day,"Oxy Concentrator Product, 10 days(pre-order), disinfactant solution generation NOT in stock ",YES
"
Yatin Parekh 
Rajiv Shirodkar ","
9822101900 / 
9822136032  ",Panjim,Rotary Club of Panaji Mid-Town,No,24*7,24*7,"Oxygen regulators 5 liters, for patients at home, contact the number given , form will be given, and provide details of physicians  they will cross check and verify and provide the same",YES
SIO Goa Zone,9112110088/9112110066,Panjim,"2nd floor, Student Centre , Opp. Salgaocar College of Law, Miramar Panjim, Goa 403001",Home delivery only in Margao & Mapusa. Supplies to  some hospitals also ,24*7,24*7,"Regulators can be borrowed by keeping some amount as deposit.On returning the regulators,amount will be given back.Since Regulators are not in stock only patients in urgent need can borrow. To be returned once not in use.Oxygen Cylinders are not sold",YES
Goa Sikh Youth ,9823645350/+91 86685 20035 / 9922289745,Santa Cruz,Santa cruz ( can come to Santa Cruz and then call to collect),No,6:00am-6:00pm,All Days,"5 cylinders available only for their communinty. 18 Cylinders are on rotation basis, call to check avaibility. Provide food service in GMC, Margao and Vasco. Also give Food to isolated patients and can do home delivery only for people whose full family is isolated.",YES
Godfrey D'Lima,7821961922,Tivim,address given on call if required since they deliver,Yes,24*7,All Days,"Oxygen cylinders available, Patient has to provide some type of Identification (whatsapp). Incase of extreme emergency patient can collect cylinders from the location. Also Provides free Oxymeters.",YES
Padmaja Rao  (accounts@arsanik.com/sales@arsanik.com),9422062442,"St Inez, Panjim","opp. Chowgule centre, Taligao, St Inez, Panjim",Yes,9:00am-6:00pm,All Days,"All covid medical supplies are available which include oxygen concentrators, Ventilators, Oxymeters, Masks, PPE kits etc.  
-P.S. Prices will be given on the spot.",YES
"IMA Covid Goa
(Indian Medical Assosiation)",8767249828,Panjim,All over Goa ,Calling all over Goa,9:00am-10:00pm,All Days,"Only Teleconsulting for home isolated patients. Patient has to text name, address and Ph. No. on whatsapp and then the doctors will call.",YES
Amit Patkar Initiative,7769030909,Curchorem ,Near the police station.,Only for curchorem people incase no one can come and collect,24*7,All Days,"-Oxygen Concentrators available for people in and around Curchorem, People form other parts of Goa can come and collect only incases of extreme emergency.
-Provide Oxymeters , should come and collect from their office, delivery in and aorund Curchorem only for extreme cases.
-Free Food services for home isolated patients.
( in and around curchorem)",YES
Harshad Swar O2 supply ,9422062377,Mapusa-Goa,Opp Ktc bus stand next to Hotel Braganza  ,No,10:00 am - 1:30pm  & 4:00pm - 6:30 pm,Monday - Saturday,"Services: Oxygen Cylinders, masks, regulators. Deposit of 5000 ",YES
Rohan ,8888885078,Panjim ,"St. Inez , Ribandar",No,24*7,All Days,Oxymeters for use an return basis. patient should provide Covid report an Adhar card over what's app to avail the Oxymeter and send a representative to collect the same,YES
Vikas,9226747490,Vasco,Near Vaddem Lake,Yes,24*7,24*7,"Only Oximeters available MRP ₹1200/-Delivery available in Vasco ,Verna ,Margao and Panjim.",YES
Wilfred D'sa Charitable Society ,8010338230,Nuvem ,Only for Nuvem Constituency,No,"24*7,except Sundays since they are opening a COVID care centre","24*7,except Sundays","Oxygen cylinder /doctor consultation for Nuvem Consistuency people. All services available, but only for Nuvem constituency,also provide food",YES
Joel ,9823131566,Navelim,"Lic office ,Blue Bell bldg navelim",No,24*7,24*7,Oxymeters. @ 950/- (Provide it for free for the needy),YES
Rotary Club of Panjim,9822101900/9822136032,Panjim,Panjim,No,24*7,24*7,Oxygen Concentrators  5 ltr flow,YES
Jose Dias President - DCC,9823061965 ; 7020948772,South Goa,"VJT Arts,Chinchinim, Salcete, Goa",Yes (Only for people of Chinchinim),24*7,24*7," Oxygen Cylinders along with oxygen regulator(Free of cost) 2 units available.20 Oxymeters available.Oxygen concentrators currently not available (donated, whenever available).",YES
Amonkar(Pioneer distributors),9822120542 / 0832 2225231/ 9823196361,Panjim (St. Inez),"Lawande Manor, near St.Inez Church,Panaji -Goa",No,9:00 am - 1:00 pm & 3:00 pm - 6:00 pm,Monday - Saturday,Oxygen Cannula & NRB Masks are in stock,YES
"Devansh, Heramb, Prof Ganesh Hegde","9308813880,9765886923,9420978458",Ponda,Goa College of Engineering Farmagudi Ponda Goa,No (delivery provided only if the person is not in a position to come and pick it up or in an urgent case)),24*7,24*7,"Oxygen Concentrators for Free use by Covid positive patients. Documents needed:- Doctor's prescription mentioning the no.of required day's and flow rate. Proof of identity. Conditions:- Maximum usage duration for the Oxygen Concentrator is for 8 days. A deposit of Rs. 10,000 will be kept as assurance and will be refunded when the machine is returned in original condition on the decided date. Cheque or Bank deposit accepted. If someone can't afford the deposit, it can be wavied off with other proof. Form will be shared once contacted and the details have to be filled in",YES
