NAME OF TEST CENTER,TYPE,CONTACT NUMBERS,LOCATION,ADDRESS,HOME COLLECTION,WORK TIME,WORK DAYS,NOTES,VERIFIED?
Manipal Hospital,CT Scan,8326632500,Panjim (Dona Paula),"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004",NA,5:00 pm onwards ,Mon to Sat,-,YES
Radiance Diagnostics,CT Scan,8322452455 / 8888862445,Panjim (Dona Paula),"Plot No. C-4, Harmony, Ground Floor, Dr. E Borges Road, Bella Vista Colony, Dona Paula, opp. Cidade De Goa, Dona Paula, Goa 403004",NA,9:00 am to 6:00 pm,Mon to Sat,"By appointment only / Cost Rs 5,000",YES
Arogyam Pathology Centre,"D-Dimer
Interleukin 6 (IL-6)
CRP
Ferritin
ESR",9021329823,Panjim (Miramar),,Yes,7:00 am to 7:00 pm,Mon to Sun,"Rs 6,000 for CT scan",YES
Casa Do Povo,Antigen / RT-PCR,9607235731,Panjim (Taleigao),"Casa do Povo, Near St.Michael's Church, Taleigao, Panjim, Goa 403002",No,9:30 am to 12:30 pm,"Mon, Wed, Fri","Report on the same day, Sunday is a half working day",YES
Shriprasad Diagnostic Laboratory,Antigen / RT-PCR,8322311299 / 9421256941,Ponda,"Near Old Bust Stand, BSNL Road, behind Menino hotel , DK Arcade, Shop C9 , Upper Ground Floor, BSNL Rd, Ponda, Goa 403401",Not at present ,"8:30 am to 10:30 am, Covid test 7:00 am to 9:00 am",,Report after 1 day,YES
Goa Care Centre,CT Scan,08322412124,Porvorim,"Hno 970, Santrupti, Alto Torda, Salavador Do Mundo, Porvorim, Goa 403521",NA,6:00 pm to 7:00 pm,Mon to Sun,DO NOT WANT PHONE CALLS AS THEY HAVE ENOUGN WALK INS and said not to call them again,YES
RG STONE UROLOGY AND LAPAROSCOPY CENTRE,Antigen,"9552558899 /
9689778899 /
9307887756",Porvorim (Alto Porvorim),"CVC Centre, Plot No. 217-218, PDA Colony, Panjim-Mapusa Highway, Alto Porvorim, Bardez, Goa 403521",No,10:00 am to 2:00 pm,Mon to Sat,"By appointment only- Cost Rs 5,000",YES
Siolim Path Lab,RT-PCR,9923853998,Siolim,"Near SFX School, Bammon Vaddo, Siolim, Goa 403517",Can give sample in Lab / Home collection only in special cases,10:00 am to 11:00 am,Mon to Sat,Charges - Rs. 600,YES
SMRC Hospital ,CT SCAN,08326691919,Vasco,"Regina Mundi School Rd, Chicalim, Goa 403711",NA,9:00 am to 5:00 pm,Mon to Sat,Short staffed- only in special cases,YES
Techno-clinic - Dr. Sanat Joshi,Antibody / Antigen / RT-PCR ,9422455696 / 08322517730 / 9421157157,Vasco,"DU-4, AU-1, AU-2 Upper Ground Floor, Suvidha Complex Opposite Tilak Maidan/Tomar Roadways, Near ICICI Bank, Vaddem, Vasco da Gama, Goa 403802",No,8:00 am to 12:00 pm,Mon to Sat,,YES
Thyrocare ,Antibody / Antigen / RT-PCR,8130801464,Vasco,"Shop No 4C Ground Floor, Dr. Ozler Forum Building, Vasco da Gama, Goa 403802",Yes - Vasco,8:00 am to 11:30 am,Mon to Sat,"RTPCR - Report in 48 hours
Antigen - Same day",YES
Vaatsalya Hospital,Antigen ,7020317064,Vasco,"D'Mello Building, 501, Swatantra Path, Vasco Da Gama, Goa 403802",Yes,Antigen is on appointment basis  5:00 pm to 6:00 pm  ,Mon to Sat,Results in 2 days as the sample goes to Mumbai,YES
Metropolis Healthcare,RT-PCR,9529725230,Verna,"Arsekar residency, Block A, shop no. AG-6, Opp. A lua Restaurant, Verna, Goa 403722",Yes,11:30 am to 1:30 pm,Mon to Sat,,YES
Kiran 8551057837/ Sujay 9922243543,RT-PCR/ Antigen ,Kiran 8551057837/ Sujay 9922243543,Margao,Margao ,Yes- Margao and all over South Goa,10:00am to 7:00pm/ Sunday 10:00 to 1:00pm ,Mon- Sat ,"Charges - Rs. 1,950 at the centre. Rs. 100 extra for home collection",YES
Nagarsenkar's Classic Hospital,Antigen / RTPCR,08322711014 / 08322711013 ,Margao,"Malbhat, Margao, Goa 403601",No,9am - 1pm,Mon to Sat ,,YES
PHC Aldona ,Antigen/ RTPCR,0832-2293251,Aldona ,"Naicavaddo, Aldona, Goa 403508",No,9am-1pn ,Mon - Sat,,YES
PHC Mayem. (Testing is done Polytechnic Mayem Hostel),Antigen/ RTPCR,8408083935,Mayem,Government Polytechnic Mayem Bicholim Hostel,No,10.00 am onwards,Mon - Sat,10.00 am is the registration for the testing and testing begins from 11.00 am onwards.,YES
PHC Corlim ,Antigen / RTPCR,0832-2285769,Corlim,"Mangaddo, Corlim, Goa 403110",No,9:00am - 1:00pm,Mon - Sat,9:00am - 11:00am for registration . Swab collection begins after 11 till 1 ,YES
PHC Cuchorem ,Antigen/RTPCR,0832-26050556,Cuchorem,"Kakoda, Vodlemol Cacora, Goa 403706",No,9:00am - 12:30pm,Mon - Sat,9:00am - 11:00am for registration . Swab collection begins after 11 till 12:30,YES
PHC Chincinim,Antigen ,0832-2863237,Chinchinin,"Prof Apolino Gomes Rd, Chinchinim, Goa 403715",No,2:00pm - 4:00 pn,Mon - Sat,,YES
PHC Cancona ,Antigen / RTPCR,0832-2643339,Cancona,"Palolem, Cancona, Goa 403702",No,9:00am - 5:00pm,Mon-Sat,Registration from 9-10 followed my swab collection ,YES
Dr Lal Path Labs,Blood count test,0832 231 4771,Ponda,"Jamia Masjid bldg, Panditwada, Curti Road, Ponda, Goa 403401",Tests only between 8-10 AM as on 24th April. Sundays closed. Result available in a day,,Mon- Sat,,YES
Pai Hospital ( Afilliated to Victor Hospital),RT-PCR /  Antigen / Antibody,0832-6728888 / 7720098138,"Vaddem, Vasco, Goa","Pai Hospital, Vaddem, Vasco da Gama, Goa 403802","Yes - (Only for diabled persons) In and around Margao, Vasco and neighbouring areas",9:30 am - 2:00pm,,Home collection of samples only for physically disabled people. RTPCR Rs. 2430/- Antigen Rs. 580/-  Antibody Rs.750/- Aadhar Card / Passport required. ,YES
"Ashwini Labs, Dr. Prasad",Antigen/RTPCR / Antibody,9822102524 / 0832 2229142 / 0832 6642504,Panjim,"Rizvi Sadan, Municipal Market Road, Near Municipal Market, Panaji, Goa 403001","Yes -  Vasco, Margao, Mapusa, Panjim",8:30 am to 2pm (Mon- Sat) 8:30am to 12 pm (Sun),Mon to Fri    (Sunday halfday),Charges for Antigen-Rs1000/- same day report. Charges for RTPCR- Rs 1200/-  Report after 3 days,YES
Swapnil ,RT-PCR,9158632629,Vasco,,Yes -Vasco,8:00am to 11:00 am ,Monday to Saturday ,Charges Rs 1500/- ,YES
PHC Curtorim,Only Rapid Antigen test,,Curtorim,Curtorim,No,9.00am - 5.00 pm,Monday to Saturday ,Only rapid antigen test is being done here. other tests and admission for patients being done at SGDH Margao,YES
Husain - Homecare service from Manipal hospital,RT-PCR  / ANTIGEN (only for emergency),8390040088,Panjim (Dona Paula),"Manipal Hospital Goa, Dr. E.Borges road, Donapaula Panjim, Goa-403004",On hold due to workload,RT PACR- 9am-1pm,Monday to Saturday ,RT PCR- Rs 1400/-   Antigen Rs 580/-,YES
Swapnil - Lab Care,D-dimer / IL-5 / CRP/  RT-PCR/ ANTIGEN,9975748804,Margaon,Gogol Margao,Yes,7:30am-7:30pm,Mon to Sat (Sunday halfday),RT-PCR- Rs 2000/-  ANTIGEN Rs 800/-,YES
